iter	Passed	Remaining
0	1	145
1	2	139
2	4	132
3	5	137
4	7	146
5	9	142
6	10	137
7	11	135
8	13	131
9	14	129
10	15	128
11	17	126
12	18	127
13	20	125
14	22	126
15	23	125
16	25	123
17	26	121
18	28	119
19	29	116
20	30	114
21	31	112
22	35	119
23	37	118
24	40	120
25	41	119
26	43	117
27	45	116
28	48	119
29	52	122
30	54	120
31	56	119
32	57	117
33	59	115
34	61	113
35	63	112
36	64	110
37	66	108
38	67	106
39	69	103
40	70	101
41	71	98
42	72	96
43	74	95
44	76	93
45	78	91
46	79	89
47	81	88
48	83	86
49	84	84
50	86	83
51	88	81
52	90	80
53	91	78
54	92	75
55	94	74
56	96	72
57	98	71
58	99	69
59	100	67
60	102	65
61	104	64
62	106	62
63	107	60
64	109	58
65	111	57
66	113	56
67	116	54
68	118	53
69	120	51
70	122	49
71	123	48
72	126	46
73	128	45
74	129	43
75	131	41
76	132	39
77	134	37
78	135	35
79	136	34
80	138	32
81	139	30
82	141	28
83	142	27
84	144	25
85	145	23
86	147	22
87	148	20
88	149	18
89	151	16
90	152	15
91	154	13
92	156	11
93	158	10
94	159	8
95	161	6
96	162	5
97	163	3
98	165	1
99	166	0
