iter	Passed	Remaining
0	13	13365
1	14	7293
2	15	5162
3	16	4059
4	17	3415
5	18	2985
6	19	2749
7	20	2602
8	22	2441
9	23	2295
10	24	2208
11	26	2146
12	27	2056
13	28	1977
14	29	1915
15	30	1887
16	31	1834
17	32	1783
18	34	1782
19	36	1777
20	37	1750
21	39	1748
22	41	1747
23	42	1741
24	44	1721
25	45	1698
26	46	1672
27	47	1653
28	49	1664
29	50	1646
30	52	1643
31	54	1633
32	55	1620
33	56	1602
34	57	1585
35	58	1567
36	59	1558
37	60	1542
38	63	1554
39	64	1548
40	65	1537
41	67	1534
42	69	1550
43	71	1555
44	72	1544
45	73	1530
46	74	1517
47	76	1519
48	78	1521
49	79	1513
50	81	1523
51	83	1526
52	85	1520
53	86	1523
54	88	1515
55	89	1508
56	92	1527
57	93	1525
58	96	1533
59	98	1537
60	99	1536
61	101	1530
62	102	1520
63	103	1511
64	104	1502
65	105	1493
66	107	1494
67	109	1495
68	110	1493
69	112	1489
70	113	1486
71	114	1480
72	115	1471
73	116	1463
74	117	1455
75	119	1447
76	121	1450
77	122	1451
78	124	1454
79	126	1452
80	127	1451
81	129	1446
82	130	1436
83	131	1433
84	132	1430
85	134	1427
86	136	1434
87	138	1433
88	139	1431
89	141	1433
90	143	1429
91	144	1426
92	145	1421
93	147	1418
94	148	1413
95	150	1413
96	151	1414
97	153	1410
98	154	1408
99	156	1408
100	157	1404
101	158	1399
102	160	1393
103	161	1390
104	162	1384
105	165	1392
106	167	1393
107	168	1392
108	170	1394
109	172	1393
110	173	1391
111	174	1387
112	176	1382
113	178	1383
114	180	1389
115	182	1387
116	183	1381
117	184	1382
118	186	1378
119	187	1374
120	188	1369
121	189	1363
122	190	1359
123	191	1355
124	194	1359
125	195	1356
126	196	1351
127	198	1350
128	199	1349
129	201	1346
130	202	1342
131	203	1338
132	205	1338
133	206	1335
134	208	1338
135	210	1336
136	211	1335
137	213	1332
138	215	1332
139	216	1329
140	217	1326
141	218	1320
142	219	1316
143	220	1312
144	223	1320
145	225	1317
146	226	1314
147	228	1316
148	230	1314
149	231	1310
150	232	1309
151	234	1306
152	235	1302
153	237	1307
154	239	1305
155	240	1303
156	242	1304
157	244	1301
158	245	1300
159	246	1296
160	247	1290
161	248	1287
162	249	1283
163	253	1293
164	254	1289
165	256	1286
166	257	1284
167	259	1283
168	260	1281
169	261	1278
170	263	1275
171	264	1273
172	266	1273
173	268	1273
174	269	1270
175	272	1275
176	274	1274
177	275	1271
178	276	1268
179	277	1265
180	278	1262
181	280	1261
182	282	1261
183	283	1259
184	285	1257
185	287	1258
186	288	1256
187	290	1252
188	291	1249
189	292	1246
190	293	1243
191	296	1246
192	297	1244
193	298	1242
194	302	1249
195	304	1247
196	305	1244
197	306	1241
198	307	1239
199	308	1235
200	310	1235
201	312	1234
202	313	1231
203	314	1229
204	316	1227
205	317	1225
206	319	1222
207	320	1218
208	321	1215
209	322	1211
210	323	1208
211	325	1208
212	326	1206
213	327	1204
214	329	1203
215	331	1202
216	332	1199
217	333	1196
218	334	1193
219	335	1190
220	337	1188
221	338	1184
222	340	1184
223	341	1183
224	343	1182
225	344	1180
226	346	1178
227	347	1175
228	348	1172
229	349	1169
230	350	1166
231	351	1163
232	352	1160
233	355	1163
234	356	1162
235	358	1159
236	359	1158
237	361	1156
238	362	1153
239	363	1150
240	364	1147
241	365	1144
242	367	1143
243	370	1146
244	371	1146
245	373	1144
246	375	1143
247	376	1141
248	377	1138
249	378	1135
250	379	1132
251	380	1129
252	381	1126
253	383	1127
254	385	1126
255	386	1123
256	388	1122
257	389	1119
258	390	1117
259	391	1114
260	392	1111
261	393	1108
262	394	1105
263	395	1103
264	397	1102
265	398	1100
266	400	1098
267	401	1095
268	402	1093
269	403	1090
270	404	1087
271	405	1084
272	406	1081
273	407	1078
274	408	1077
275	411	1078
276	412	1077
277	414	1077
278	417	1077
279	418	1076
280	420	1075
281	421	1073
282	422	1071
283	424	1069
284	426	1069
285	428	1069
286	429	1068
287	431	1066
288	432	1063
289	433	1061
